user_id,problem_id,content,option,answer,concept_id,course_id,course_name,is_correct,score,attempts,submit_time,student_persona
U_12659672,Pm_976057,When did Linus Torvalds start writing the Linux kernel?,"{'A': '1952', 'B': '1991', 'C': '2002', 'D': '2010'}","[""B""]",,C_770751,Linux导论,1,,1,2020-10-30 23:15:21,resilient_student
U_12659672,Pm_976058,Which of the following qualifications are required for participating in the Linux kernel development? Select all answers that apply.,"{'A': 'Technical skills', 'B': 'A desire to contribute', 'C': 'Citizen of the U.S.', 'D': 'University degree in computer science'}","[""A"", ""B""]",,C_770751,Linux导论,0,,1,2020-10-30 23:16:18,
U_12659672,Pm_976059,Which of the following communication channels does the Linux community use to communicate? Select all answers that apply.,"{'A': 'cnn.com', 'B': 'IRC Channels', 'C': 'Mailing Lists', 'D': 'Community Events'}","[""B"", ""C"", ""D""]",,C_770751,Linux导论,0,,1,2020-10-30 23:17:34,
U_12659672,Pm_976060,What is a kernel?,"{'A': 'The glue between hardware and applications', 'B': 'A collection of software making up a Linux-based operating system', 'C': 'A program that runs as a background process', 'D': 'A graphical subsystem on nearly all Linux systems'}","[""A""]",,C_770751,Linux导论,1,,1,2020-10-31 11:44:55,
U_12659672,Pm_976061,What is a desktop environment?,"{'A': 'A collection of software making up a Linux-based operating system', 'B': 'A program that runs as a background process', 'C': 'A graphical subsystem on nearly all Linux systems', 'D': 'A graphical user interface on top of the operating system'}","[""D""]",,C_770751,Linux导论,1,,1,2020-11-01 06:25:05,
U_12659672,Pm_976062,What is a command line?,"{'A': 'A collection of software making up a Linux-based operating system', 'B': 'A program that runs as a background process', 'C': 'An interface for typing commands for the operating system to execute', 'D': 'A list of commands requested to be run in the order presented'}","[""C""]",,C_770751,Linux导论,0,,1,2020-11-01 06:25:20,
U_12659672,Pm_976063,"In addition to the kernel, what are some of the purposes of the other software tools required for developing a full Linux distribution? Select all answers that apply.","{'A': 'Performing file-related operations', 'B': 'Catering to different audiences', 'C': 'Maintaining user management', 'D': 'Taking care of software package management'}","[""A"", ""C"", ""D""]",,C_770751,Linux导论,0,,1,2020-11-01 06:26:01,
U_12659672,Pm_976064,Which of the following are binary-compatible Linux distributions which are free alternatives to Red Hat Enterprise Linux (RHEL)? Select all answers that apply.,"{'A': 'CentOS', 'B': 'Ubuntu', 'C': 'Scientific Linux', 'D': 'openSUSE'}","[""A"", ""C""]",,C_770751,Linux导论,1,,1,2020-11-01 06:27:49,
U_14392312,Pm_1209648,下面关于虚拟局域网VLAN的描述中，正确的是（ ）,"{'A': '一个VLAN是一个广播域', 'B': '一个VLAN是一个冲突域', 'C': '一个VLAN必须连接同一个交换机', 'D': '不同VLAN之间不能通信'}","[""A"", ""D""]",,C_680992,网络综合布线,0,0.0,1,2020-07-19 15:44:19,stubborn_student
U_14392312,Pm_1209649,VLAN的主要作用不包括（）,"{'A': '加强网络安全', 'B': '抑制广播风暴', 'C': '简化网络管理', 'D': '查杀病毒'}","[""D""]",,C_680992,网络综合布线,0,0.0,1,2020-07-19 15:44:37,
